Age,Sex,Pref,DiagnoseYear,Population
51,female,5101,2004,95555
51,female,5101,2005,90905
51,female,5101,2006,93387
51,female,5101,2007,86362
51,female,5101,2008,87509
51,female,5101,2009,81389
51,female,5101,2010,56649
51,female,5101,2011,51151
51,female,5101,2012,50456
51,female,5101,2013,85265
51,female,5101,2014,159745
51,female,5101,2015,132079
51,female,5101,2016,142639
51,female,5101,2017,141403
51,female,5101,2018,128617
52,female,5101,2000,57144
52,female,5101,2001,75534
52,female,5101,2002,71127
52,female,5101,2003,76888
52,female,5101,2004,93908
52,female,5101,2005,95997
52,female,5101,2006,91580
52,female,5101,2007,94228
52,female,5101,2008,87310
52,female,5101,2009,88442
52,female,5101,2010,82205
52,female,5101,2011,57282
52,female,5101,2012,51565
52,female,5101,2013,50690
52,female,5101,2014,85308
52,female,5101,2015,159604
52,female,5101,2016,132005
52,female,5101,2017,142576
52,female,5101,2018,141372
53,female,5101,2000,59537
53,female,5101,2001,57062
53,female,5101,2002,75597
53,female,5101,2003,71287
53,female,5101,2004,77144
53,female,5101,2005,94262
53,female,5101,2006,96522
53,female,5101,2007,92245
53,female,5101,2008,94938
53,female,5101,2009,88009
53,female,5101,2010,89014
53,female,5101,2011,82593
53,female,5101,2012,57546
53,female,5101,2013,51698
53,female,5101,2014,50728
53,female,5101,2015,85229
53,female,5101,2016,159380
53,female,5101,2017,131860
53,female,5101,2018,142434
54,female,5101,2000,54951
54,female,5101,2001,59417
54,female,5101,2002,57139
54,female,5101,2003,75665
54,female,5101,2004,71457
54,female,5101,2005,77405
54,female,5101,2006,94588
54,female,5101,2007,96921
54,female,5101,2008,92679
54,female,5101,2009,95326
54,female,5101,2010,88317
54,female,5101,2011,89173
54,female,5101,2012,82640
54,female,5101,2013,57563
54,female,5101,2014,51669
54,female,5101,2015,50676
54,female,5101,2016,85105
54,female,5101,2017,159113
54,female,5101,2018,131670
55,female,5101,2000,54389
55,female,5101,2001,54807
55,female,5101,2002,59435
55,female,5101,2003,57230
55,female,5101,2004,75768
55,female,5101,2005,71693
55,female,5101,2006,77746
55,female,5101,2007,94953
55,female,5101,2008,97309
55,female,5101,2009,93053
55,female,5101,2010,95600
55,female,5101,2011,88472
55,female,5101,2012,89201
55,female,5101,2013,82595
55,female,5101,2014,57524
55,female,5101,2015,51620
55,female,5101,2016,50638
55,female,5101,2017,85014
55,female,5101,2018,158909
